dataset.id,dataset.name,dataset.license_title,dataset.license_id,dataset.isopen,dataset.tracking_summary.total,dataset.tracking_summary.recent,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url,resource_tracking_summary_total,resource_tracking_summary_recent
fd00d49f-d163-43b0-aed8-b94bc078ac16,asistencia-y-patrocinio-a-las-v-ctimas-argentina,License Not Specified,notspecified,False,0,0,8793f6bc-e9a5-4328-9154-5c90d052b420,Asistencia y patrocinio a las vctima,2012-11-27T12:12:27.915971,2012-11-27T18:12:46.183590,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://ckannet-storage.commondatastorage.googleapis.com/2012-11-27T181157/Asistencia.xlsx,0,0
db7bcbf3-ce2a-4d23-aabf-6c120a4dbfdd,asit,Creative Commons Attribution Share-Alike,cc-by-sa,True,7,5,f7c76f07-4a21-4b40-85b5-7f307d9ae44c,Asit Linguisti Linked dataset RDF Schema,2012-05-24T15:44:56.341420,2012-05-24T15:46:51.755412,RDF,http://www.purl.org/ASIt/RDF/asit-schema.rdf,0,0
db7bcbf3-ce2a-4d23-aabf-6c120a4dbfdd,asit,Creative Commons Attribution Share-Alike,cc-by-sa,True,7,5,accdea2f-9154-4f87-8679-ce61067edb96,ASIt Linguistic Linked dataset ,2012-05-24T15:45:56.573912,2012-05-24T15:46:51.755412,XML,http://www.purl.org/asit/RDF,0,0
db7bcbf3-ce2a-4d23-aabf-6c120a4dbfdd,asit,Creative Commons Attribution Share-Alike,cc-by-sa,True,7,5,5d24f4c5-62d4-474b-adfe-294d38307261,Linked Data set,2014-05-16T22:26:22.586251,2014-05-16T22:26:22.544770,application/rdf+xml,http://ims.dei.unipd.it/websites/ASIt/RDF/asit-data.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,ed51ef7b-cf20-4704-a143-ebc3231da839,Language,2012-08-15T04:20:43.393904,2012-08-27T12:02:41.302869,example/rdf xml,http://cldbstest.eva.mpg.de/asjp/resource/language/id/l99.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,af6eb19c-9141-4146-b8e3-91dc79cd1d55,Rendering,2012-08-15T04:20:43.393940,2012-08-27T12:02:41.302869,example/rdf+xml,http://cldbstest.eva.mpg.de/asjp/resource/rendering/id/r1234.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,b741b3d4-8cda-4258-9312-eba4cc03ff3a,Sense,2012-08-15T04:20:43.393951,2012-08-27T12:02:41.302869,example/rdf xml,http://cldbstest.eva.mpg.de/asjp/resource/sense/id/s40.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,f65c71af-1329-4d76-9a28-801d1460bdd9,Language Family,2012-08-15T04:20:43.393961,2012-08-27T12:02:41.302869,example/rdf xml,http://cldbstest.eva.mpg.de/asjp/resource/family/id/fROMANCE.rdf,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,139ef57c-544a-480a-8234-e0a56d92e354,Languoids,2012-08-27T06:56:56.062108,2012-08-27T12:14:28.707032,application/rdf+xml,http://cldbstest.eva.mpg.de/asjp/downloads/languoids.rdf.zip,0,0
a3258e04-ed56-48b7-9cd3-0d7facb1e379,asjp,Creative Commons Attribution,cc-by,True,0,0,00044b2c-0ca2-4edd-b7c2-490a0f40b8a3,Renderings,2012-08-27T06:58:26.725023,2012-08-27T12:13:37.802755,application/x-ntriples,http://cldbstest.eva.mpg.de/asjp/downloads/renderings.ttl.zip,0,0
