dataset.id,dataset.name,dataset.license_title,dataset.license_id,resource.id,resource.name,resource.created,resource.revision_timestamp,resource.format,resource.url
86983638-4785-4541-a7ab-eb32b3c480f2,filling,License Not Specified,notspecified,23d56f03-b897-4ca6-bf1a-8bad81323455,lens,2014-09-16T09:26:03.117745,2014-09-16T09:26:17.633330,xlsx,http://demo.ckan.org/dataset/86983638-4785-4541-a7ab-eb32b3c480f2/resource/23d56f03-b897-4ca6-bf1a-8bad81323455/download/cameralensselfportraitphotographyhdwallpaper1920x12006083.jpg
01c682de-d803-4e56-98b1-3c44b2990633,fipublic,License Not Specified,notspecified,849156b9-7f6a-4457-98ee-332d58b4588a,fipublic3,2014-12-22T07:51:13.369710,2014-12-22T07:51:13.306095,,http://www.google.es
664431b4-66c8-4476-b708-6f71b570ee6c,firstdata,License Not Specified,notspecified,3d9e7460-d55c-4323-ab2f-ddafa0a0ea7b,,2014-10-08T09:45:07.026387,2014-10-08T09:45:24.175371,CSV,http://demo.ckan.org/dataset/664431b4-66c8-4476-b708-6f71b570ee6c/resource/3d9e7460-d55c-4323-ab2f-ddafa0a0ea7b/download/text.csv
aab815c5-7448-4dd7-bdee-62334b2ee4df,first-prvy,License Not Specified,notspecified,994f3f15-dffa-4ed1-baa0-a90fe5abfce9,wikipd,2014-06-19T12:03:25.700104,2014-06-19T12:03:25.673900,,http://cs.wikipedia.org/wiki/Hlavn%C3%AD_strana
7c471bff-ef99-48f6-a1e8-11cdd41eff48,firsttest123,GNU Free Documentation License,gfdl,730fd50b-6ae8-4c79-bb6a-6ae26c1b5427,tiny dataset,2014-08-01T02:00:49.400017,2014-08-01T02:06:44.632290,CSV,http://demo.ckan.org/dataset/7c471bff-ef99-48f6-a1e8-11cdd41eff48/resource/730fd50b-6ae8-4c79-bb6a-6ae26c1b5427/download/d.csv
7c471bff-ef99-48f6-a1e8-11cdd41eff48,firsttest123,GNU Free Documentation License,gfdl,06a16152-7118-494f-9498-e24bff1a7863,SecondTest123,2014-08-01T02:02:02.746438,2014-08-01T02:04:33.882083,,http://demo.ckan.org/dataset/7c471bff-ef99-48f6-a1e8-11cdd41eff48/resource/06a16152-7118-494f-9498-e24bff1a7863/download/d.csv
f11c78e3-5896-4e35-9b4f-f3f9afd3efc8,fiware,License Not Specified,notspecified,dcdc0283-d843-4749-a8cd-6a8be28bc27a,fiware data 1,2014-12-19T11:53:44.579854,2014-12-19T11:53:48.540699,,http://www.fi-ware.org
0936b413-50ee-47ec-80cb-56cde29fce57,fiware-org43,License Not Specified,notspecified,698774c2-985c-4615-a72e-aa3caf396018,Room-Room2,2014-06-18T08:56:27.618973,2014-06-18T09:54:12.779948,unknown,http://Room-Room2
8b0972b3-f1bf-4ca6-a599-c29dd0381978,fiware-tenant1,,,0afab0a6-7c86-4d9c-acf9-98c22c997dc2,Room1-Room,2014-06-04T15:25:28.792448,2014-06-04T15:25:28.769950,,http://Room1-Room
59e59846-297f-4f92-95af-b3937b36d0fd,fiwaretest-22676,,,30071933-7031-43ef-88c8-7175170acc78,entity01,2014-07-15T08:53:26.784436,2014-07-15T08:53:26.731282,,http://fakeurl.com
