Property,Sum - Count
http://purl.org/linked-data/sdmx/2009/dimension#refPeriod,66860
http://education.data.gov.uk/def/school/establishmentStatus,66655
http://education.data.gov.uk/def/school/investorInPeople,66655
http://education.data.gov.uk/def/school/lastChangedDate,66655
http://education.data.gov.uk/def/school/localAuthority,66655
http://education.data.gov.uk/def/school/PFI,66655
http://education.data.gov.uk/def/school/typeOfEstablishment,66655
http://education.data.gov.uk/def/school/uniqueReferenceNumber,66655
http://education.data.gov.uk/def/school/establishmentName,66653
http://education.data.gov.uk/def/school/censusRecord,66243
http://education.data.gov.uk/def/school/numberOfPupils,65938
http://education.data.gov.uk/def/school/numberOfBoys,65849
http://education.data.gov.uk/def/school/boys19plus,65794
http://education.data.gov.uk/def/school/girls19plus,65773
http://rdf.geospecies.org/ont/geospecies#hasUSDA_ExpectationOf,65724
http://rdf.geospecies.org/ont/geospecies#isUSDA_ExpectedIn,65681
http://education.data.gov.uk/def/school/numberOfGirls,65624
http://www.w3.org/2008/05/skos-xl#altLabel,65610
http://education.data.gov.uk/def/school/boys17,65595
http://education.data.gov.uk/def/school/girls17,65590
http://education.data.gov.uk/def/school/boys15,65523
http://education.data.gov.uk/def/school/boys14,65438
http://education.data.gov.uk/def/school/boys12,65313
http://education.data.gov.uk/def/school/boys13,65286
http://education.data.gov.uk/def/school/boys3,65192
http://education.data.gov.uk/def/school/boys16,65190
http://education.data.gov.uk/def/school/girls3,65190
http://education.data.gov.uk/def/school/girls12,65183
http://education.data.gov.uk/def/school/boys2,65162
http://education.data.gov.uk/def/school/girls15,65156
http://education.data.gov.uk/def/school/girls16,65155
http://education.data.gov.uk/def/school/girls2andUnder,65154
http://education.data.gov.uk/def/school/girls14,65133
http://education.data.gov.uk/def/school/girls13,65117
http://transport.data.gov.uk/0/ontology/traffic#roadCategory,64971
http://education.data.gov.uk/def/school/girls11,64753
http://education.data.gov.uk/def/school/boys18,64660
http://education.data.gov.uk/def/school/boys11,64595
http://education.data.gov.uk/def/school/girls18,64463
http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymCoL,64301
http://education.data.gov.uk/def/school/boys10,64257
http://education.data.gov.uk/def/school/boys9,64253
http://education.data.gov.uk/def/school/districtAdministrative,64222
http://education.data.gov.uk/def/school/ofstedSpecialMeasures,64197
http://education.data.gov.uk/def/school/boys8,64134
http://lod.taxonconcept.org/ontology/txn.owl#hasExpectationOf,64129
http://lod.taxonconcept.org/ontology/txn.owl#isExpectedIn,64129
http://education.data.gov.uk/def/school/girls9,64074
http://education.data.gov.uk/def/school/girls10,64065
http://education.data.gov.uk/def/school/hasGOR,64030
http://education.data.gov.uk/def/school/girls8,63974
http://education.data.gov.uk/def/school/boys5,63960
http://education.data.gov.uk/def/school/boys6,63949
http://education.data.gov.uk/def/school/girls6,63909
http://education.data.gov.uk/def/school/girls7,63877
http://education.data.gov.uk/def/school/boys7,63855
http://education.data.gov.uk/def/school/girls5,63840
http://education.data.gov.uk/def/school/urbanRural,63800
http://education.data.gov.uk/def/school/parliamentaryConstituency,63664
http://education.data.gov.uk/def/school/LSOA,63659
http://education.data.gov.uk/def/school/MSOA,63659
http://education.data.gov.uk/def/school/censusAreaStatisticWard,63631
http://education.data.gov.uk/def/school/administrativeWard,63498
http://purl.org/dc/elements/1.1/coverage,63170
http://eunis.eea.europa.eu/rdf/sites-schema.rdf#length,61289
http://www.w3.org/2000/01/rdf-schema#comment,61134
http://xmlns.com/foaf/0.1/made,60761
http://www.w3.org/2004/02/skos/core#definition,60624
http://education.data.gov.uk/def/school/boys4a,60048
http://xmlns.com/foaf/0.1/surname,60000
http://education.data.gov.uk/def/school/girls4a,59878
http://education.data.gov.uk/def/school/LLSC,59618
http://id.southampton.ac.uk/ns/inPublicationsListOf,59342
http://knoesis.wright.edu/ssw/ont/sensor-observation.owl#parameter,59109
