Number of unique subjects: 35531,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56],[57],[58],[59],[60],[61],[62],[63],[64],[65],[66],[67],[68],[69],[70],[71],[72],[73],[74],[75],[76],[77],[78],[79],[80],[81],[82],[83],[84]
[42] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,21,17,0,0,21,0,0,0,0,12,0,0,0,0,0,4,5,2,3,7,0,0,2,0,17,0,0,0,0,21,21,21,0,17
[43] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.2,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,61,60,0,0,61,0,0,0,0,29,0,0,0,0,0,4,2,23,7,12,7,0,6,0,60,0,0,0,0,61,61,61,0,60
[44] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.3,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,48,46,0,0,48,0,0,0,0,10,0,0,0,1,2,4,17,7,2,5,2,0,4,4,46,0,0,0,0,48,48,48,0,46
[45] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.4,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,49,49,0,0,49,0,0,0,0,18,0,0,10,0,0,4,8,2,8,8,4,0,0,5,49,0,0,0,0,49,49,49,0,48
[46] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.5,264,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,264,263,0,0,264,0,0,0,0,107,0,0,29,0,9,18,26,34,39,33,26,0,27,23,263,0,0,0,0,264,264,264,0,263
[47] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.6,73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,73,73,0,0,73,0,0,0,0,33,0,0,2,0,8,12,6,10,11,8,4,0,8,4,73,0,0,0,0,73,73,73,0,73
[48] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.7,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,10,10,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,10,0,0,0,0,10,10,10,0,10
[49] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.8,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,69,65,0,0,69,0,0,0,0,28,0,0,6,0,6,6,11,7,4,10,12,0,7,0,65,0,0,0,0,69,69,69,0,65
[50] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoids-23.9,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42,38,0,0,42,0,0,0,0,15,0,0,2,0,4,3,3,4,10,4,4,2,2,4,38,0,0,0,0,42,42,42,0,39
[51] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoints_effort,1128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1103,0,0,1126,0,0,0,0,496,0,0,127,1,62,110,122,129,147,143,102,2,103,76,1103,0,0,0,0,1126,1126,1126,0,1099
[52] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APoints_exp.,1105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1103,0,0,0,0,489,0,0,127,0,62,109,119,126,144,139,100,2,102,75,1103,0,0,0,0,1103,1103,1103,0,1095
[53] http://www.pokepedia.fr/index.php/Sp%C3%A9cial:URIResolver/Attribut-3APok-C3-A9mon_du_jeton,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,38,38,38,0,0
