Number of unique subjects: 279515,Count,[0],[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32],[33],[34],[35],[36],[37],[38],[39],[40],[41],[42],[43],[44],[45],[46],[47],[48],[49],[50],[51],[52],[53],[54],[55],[56]
[21] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonym,49824,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401,23176,5176,825,785,18420,2240,29562,348,38803,3434,1382,1807,3114,33882,125,15551,42949,42949,4837,42949,42949,42949,0,0,42949,41225,42949,42949,4562,42949,42949,5167,42949,42929
[22] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymAnimalsWCMC,497,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,388,224,130,63,166,25,416,14,407,303,182,62,54,334,0,217,497,497,11,497,497,497,0,0,497,398,497,497,167,497,497,187,497,497
[23] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymCoL,64301,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4041,638,587,43719,2352,57681,276,25961,2632,960,1464,2528,59080,130,11808,64294,64294,1766,64294,64294,64294,0,0,64294,63896,64294,64294,3723,64294,64294,4186,64294,64294
[24] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymEOL,5179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,732,87,2750,35,4211,202,5167,1400,688,1685,1402,4175,13,362,5179,5179,168,5179,5179,5179,0,0,5179,4875,5179,5179,1847,5179,5179,2397,5179,5178
[25] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymEURING,864,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,698,0,711,18,810,761,486,32,96,718,0,235,864,864,31,864,864,864,0,0,864,768,864,864,490,864,864,491,864,832
[26] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymFIFAO,787,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,101,495,591,43,719,339,104,22,81,650,0,697,785,785,68,785,785,785,0,0,785,749,785,785,508,785,785,157,785,768
[27] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymFaEu,155386,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,132537,110,20093,3016,954,271,1518,155386,0,2578,155386,155386,30072,155386,155386,155386,0,0,155386,155055,155386,155386,1297,155386,155386,2107,155386,155386
[28] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymFishBase,2369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2153,35,2161,815,139,12,91,1618,0,1824,2369,2369,180,2369,2369,2369,0,0,2369,2344,2369,2369,1302,2369,2369,86,2369,2369
[29] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymGBIF,212940,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,279,31819,5107,1483,1410,3338,167072,178,29309,207628,207628,56431,207628,207628,207628,0,0,207628,206596,207628,207628,4282,207628,207628,5605,207628,174595
[30] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymISSG,367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,337,94,20,148,211,294,3,73,367,367,11,367,367,367,0,0,367,359,367,367,165,367,367,244,367,367
[31] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymITIS,43726,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2607,1055,1742,2992,35596,51,15387,43726,43726,5069,43726,43726,43726,0,0,43726,42325,43726,43726,4000,43726,43726,4266,43726,43325
[32] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymIUCN,6311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1558,254,412,4030,43,895,6311,6311,253,6311,6311,6311,0,0,6311,5537,6311,6311,1725,6311,6311,1305,6311,5359
[33] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymN2000,2383,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,109,142,1468,32,288,2383,2383,262,2383,2383,2383,0,0,2383,1967,2383,2383,1146,2383,2383,924,2383,2131
[34] http://eunis.eea.europa.eu/rdf/species-schema.rdf#sameSynonymNCBI,1807,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1020,1267,13,35,1807,1807,25,1807,1807,1807,0,0,1807,1743,1807,1807,1034,1807,1807,1393,1807,1805
